                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7897,                 2.4746,                 1.5317,                 0.5384,                0.46316,                0.42986,                0.20715,                 1.7364,                 3.9854,                 1.5136,                0.00062,                0.00062,                0.00062
                      2,                 1.6414,                 1.5214,                 1.3272,                 0.2859,                0.40702,                0.22318,                0.10455,                 1.8869,                 8.2059,                 1.7671,              0.0011353,              0.0011353,              0.0011353
                      3,                 1.6137,                 1.4219,                 1.3497,                0.14742,                0.37544,                0.15634,                 0.0669,                 1.9483,                 10.176,                 1.9689,              0.0015238,              0.0015238,              0.0015238
                      4,                 1.6316,                  1.417,                 1.3342,                0.65603,                0.47514,                0.51072,                0.27127,                  2.109,                 2.2025,                 2.0936,               0.001406,               0.001406,               0.001406
                      5,                 1.5809,                 1.2489,                 1.3277,                0.72598,                0.55439,                0.59607,                0.35336,                  1.668,                 1.7224,                 1.5503,               0.001208,               0.001208,               0.001208
                      6,                 1.5321,                 1.1585,                 1.2926,                0.66018,                0.57942,                0.56616,                0.30095,                 1.7469,                 1.4852,                 1.5788,                0.00101,                0.00101,                0.00101
                      7,                 1.4441,                 1.0987,                 1.2502,                0.79933,                0.61053,                0.65683,                 0.3857,                 1.5185,                 1.2214,                 1.3268,               0.000812,               0.000812,               0.000812
                      8,                 1.4377,                 1.0117,                 1.2364,                0.80083,                0.60702,                0.67626,                0.38804,                 1.6737,                 1.1487,                 1.4385,               0.000614,               0.000614,               0.000614
                      9,                 1.3785,                0.92621,                 1.1857,                0.79458,                0.62456,                0.69465,                0.39118,                 1.5747,                 1.1331,                 1.3791,               0.000416,               0.000416,               0.000416
                     10,                 1.3337,                0.89663,                 1.1733,                0.86749,                0.64211,                0.73356,                0.42976,                 1.4881,                 1.0428,                 1.2986,               0.000218,               0.000218,               0.000218
